name,address,num_of_stations,coordinates
Wellesley Subway Station,551 Yonge St,3,"43.6712581,-79.376367"
,,0,"43.664524,-79.36793"
,,0,"43.665867,-79.362506"
King Subway Station,70 Yonge St,6,"43.648575,-79.380042"
Union Subway Station,55 Front St E,6,"43.648575,-79.380042"
St Patrick Subway Station,147 University Ave,6,"43.648575,-79.380042"
Osgoode SUBWAY Station,250 University Ave,6,"43.648575,-79.380042"
Dundas Subway Station,300 Yonge St,6,"43.648575,-79.380042"
St Patrick Subway Station,449 University Ave,6,"43.648575,-79.380042"
St Patrick Subway Station,147 University Ave,3,"43.643473,-79.390477"
Osgoode SUBWAY Station,250 University Ave,3,"43.643473,-79.390477"
Union Subway Station,55 Front St E,3,"43.643473,-79.390477"
St Patrick Subway Station,147 University Ave,5,"43.645859,-79.38783"
Osgoode SUBWAY Station,250 University Ave,5,"43.645859,-79.38783"
Union Subway Station,55 Front St E,5,"43.645859,-79.38783"
King Subway Station,70 Yonge St,5,"43.645859,-79.38783"
St Patrick Subway Station,449 University Ave,5,"43.645859,-79.38783"
,,0,"43.662132,-79.3656796"
St Patrick Subway Station,147 University Ave,1,"43.640722,-79.391051"
Wellesley Subway Station,551 Yonge St,2,"43.66207,-79.37617"
Dundas Subway Station,300 Yonge St,2,"43.66207,-79.37617"
,,0,"43.660206,-79.3244"
,,0,"43.668633,-79.291162"
Wellesley Subway Station,551 Yonge St,4,"43.665801,-79.384796"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.665801,-79.384796"
Queen's Park Subway Station,505 University Ave,4,"43.665801,-79.384796"
Sherbourne Subway Station,420 Bloor St E,4,"43.665801,-79.384796"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.668153,-79.38891"
Wellesley Subway Station,551 Yonge St,5,"43.668153,-79.38891"
St. George Subway Station,323 Bloor St W,5,"43.668153,-79.38891"
Queen's Park Subway Station,505 University Ave,5,"43.668153,-79.38891"
Rosedale Subway Station,1009 Yonge St,5,"43.668153,-79.38891"
Dundas Subway Station,300 Yonge St,3,"43.657024,-79.377257"
King Subway Station,70 Yonge St,3,"43.657024,-79.377257"
St Patrick Subway Station,449 University Ave,3,"43.657024,-79.377257"
Wellesley Subway Station,551 Yonge St,5,"43.662862,-79.383572"
Queen's Park Subway Station,505 University Ave,5,"43.662862,-79.383572"
Dundas Subway Station,300 Yonge St,5,"43.662862,-79.383572"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.662862,-79.383572"
St Patrick Subway Station,449 University Ave,5,"43.662862,-79.383572"
King Subway Station,70 Yonge St,6,"43.652276,-79.380701"
