name,address,yelp_num_stations,coordinates
Museum Subway Station,75 Queen's Park,7.0,"43.663376,-79.392125"
Bloor-Yonge Subway Station,20 Bloor Street E,7.0,"43.663376,-79.392125"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.663376,-79.392125"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.663376,-79.392125"
St Patrick Subway Station,449 University Avenue,7.0,"43.663376,-79.392125"
Queen's Park Subway Station,129 College Street,7.0,"43.663376,-79.392125"
Bay Subway Station,1240 Bay Street,7.0,"43.663376,-79.392125"
Museum Subway Station,75 Queen's Park,7.0,"43.660439,-79.385525"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.660439,-79.385525"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.660439,-79.385525"
St Patrick Subway Station,449 University Avenue,7.0,"43.660439,-79.385525"
Queen Station,171 Yonge Street,7.0,"43.660439,-79.385525"
Queen's Park Subway Station,129 College Street,7.0,"43.660439,-79.385525"
Queen Subway Station,8 Queen Street W,7.0,"43.660439,-79.385525"
Museum Subway Station,75 Queen's Park,7.0,"43.659226,-79.390213"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.659226,-79.390213"
St Patrick Subway Station,449 University Avenue,7.0,"43.659226,-79.390213"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.659226,-79.390213"
Queen's Park Subway Station,129 College Street,7.0,"43.659226,-79.390213"
Queen Station,171 Yonge Street,7.0,"43.659226,-79.390213"
Queen Subway Station,8 Queen Street W,7.0,"43.659226,-79.390213"
Museum Subway Station,75 Queen's Park,7.0,"43.65995,-79.38964"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.65995,-79.38964"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.65995,-79.38964"
St Patrick Subway Station,449 University Avenue,7.0,"43.65995,-79.38964"
Queen's Park Subway Station,129 College Street,7.0,"43.65995,-79.38964"
Queen Station,171 Yonge Street,7.0,"43.65995,-79.38964"
Queen Subway Station,8 Queen Street W,7.0,"43.65995,-79.38964"
Museum Subway Station,75 Queen's Park,7.0,"43.661803,-79.389682"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.661803,-79.389682"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.661803,-79.389682"
Bloor-Yonge Subway Station,20 Bloor Street E,7.0,"43.661803,-79.389682"
St Patrick Subway Station,449 University Avenue,7.0,"43.661803,-79.389682"
Queen's Park Subway Station,129 College Street,7.0,"43.661803,-79.389682"
Bay Subway Station,1240 Bay Street,7.0,"43.661803,-79.389682"
Museum Subway Station,75 Queen's Park,7.0,"43.660087,-79.385655"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.660087,-79.385655"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.660087,-79.385655"
St Patrick Subway Station,449 University Avenue,7.0,"43.660087,-79.385655"
Queen Station,171 Yonge Street,7.0,"43.660087,-79.385655"
Queen's Park Subway Station,129 College Street,7.0,"43.660087,-79.385655"
Queen Subway Station,8 Queen Street W,7.0,"43.660087,-79.385655"
Mimico GO Station,"Toronto, ON",1.0,"43.6146692,-79.4873148"
Bloor GO Station,1456 Bloor Street W,1.0,"43.6486599,-79.4376413"
Exhibition GO Station,Manitoba Drive,1.0,"43.6423847,-79.4240277"
Ossington Subway Station,746 Ossington Avenue,1.0,"43.6702236,-79.4360232"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.67883,-79.408723"
Bloor-Yonge Subway Station,20 Bloor Street E,2.0,"43.6752732,-79.3778458"
Bay Subway Station,1240 Bay Street,2.0,"43.6752732,-79.3778458"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.6882821,-79.4253856"
Museum Subway Station,75 Queen's Park,3.0,"43.670206,-79.402643"
Spadina Subway Station,6 Spadina Road,3.0,"43.670206,-79.402643"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.670206,-79.402643"
Spadina Subway Station,6 Spadina Road,2.0,"43.661559,-79.413845"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.661559,-79.413845"
St Patrick Subway Station,449 University Avenue,3.0,"43.6560758,-79.393259"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.6560758,-79.393259"
Queen's Park Subway Station,129 College Street,3.0,"43.6560758,-79.393259"
St Patrick Subway Station,449 University Avenue,4.0,"43.6580442,-79.3927404"
Dundas Station,"Toronto, ON M5B 1J3",4.0,"43.6580442,-79.3927404"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.6580442,-79.3927404"
Queen's Park Subway Station,129 College Street,4.0,"43.6580442,-79.3927404"
St Patrick Subway Station,449 University Avenue,2.0,"43.6568254,-79.3966159"
Queen's Park Subway Station,129 College Street,2.0,"43.6568254,-79.3966159"
Mimico GO Station,"Toronto, ON",1.0,"43.6171635,-79.4971065"
Mimico GO Station,"Toronto, ON",1.0,"43.612063,-79.496573"
Mimico GO Station,"Toronto, ON",1.0,"43.613606,-79.4883535"
Weston GO/UP Express Station,"Weston, ON",1.0,"43.698841,-79.519472"
Old Mill Station,2672 Bloor Street W,3.0,"43.658574,-79.487246"
Jane Station,15 Jane Street,3.0,"43.658574,-79.487246"
Runnymede Station,265 Runnymede Road,3.0,"43.658574,-79.487246"
Exhibition GO Station,Manitoba Drive,1.0,"43.6323994,-79.40978179999999"
